time,open,high,low,close,volume,SMA_14,SMA_50
1750174200,197.2,197.93,196.56,196.56,2498234,,
1750175100,196.56,197.03,196.25,196.82,1375868,,
1750176000,196.82,197.69,196.69,197.63,1097304,,
1750176900,197.62,197.91,197.44,197.58,678905,,
1750177800,197.58,197.7,197.32,197.5,733152,,
1750178700,197.51,197.77,197.35,197.38,650539,,
1750179600,197.38,197.79,197.34,197.69,546027,,
1750180500,197.7,197.79,197.35,197.58,536276,,
1750181400,197.59,198.38,197.51,198.33,911091,,
1750182300,198.34,198.39,197.78,197.78,624460,,
1750183200,197.78,198.13,197.63,198.11,535183,,
1750184100,198.11,198.15,197.46,197.61,606987,,
1750185000,197.61,197.85,197.21,197.31,399878,,
1750185900,197.28,197.41,196.68,196.78,829192,197.48,
1750186800,196.77,196.86,196.46,196.69,766936,197.48,
1750187700,196.69,196.83,196.5,196.52,505089,197.46,
1750188600,196.51,196.82,196.27,196.31,653248,197.37,
1750189500,196.31,196.43,195.92,196.12,805088,197.26,
1750190400,196.11,196.12,195.58,195.74,772806,197.14,
1750191300,195.73,195.83,195.21,195.46,689131,197.0,
1750192200,195.48,195.86,195.42,195.69,587916,196.86,
1750193100,195.69,195.87,195.53,195.84,496954,196.74,
1750194000,195.85,195.92,195.49,195.84,525231,196.56,
1750194900,195.84,195.94,195.62,195.83,608860,196.42,
1750195800,195.84,195.89,195.45,195.63,935823,196.24,
1750196700,195.63,195.86,195.44,195.64,2276907,196.1,
1750260600,195.92,196.14,195.07,195.49,2106294,195.97,
1750261500,195.47,196.47,195.27,196.38,1439224,195.94,
1750262400,196.4,197.25,196.21,197.08,1554518,195.97,
1750263300,197.07,197.51,196.98,197.07,1032813,196.01,
1750264200,197.09,197.57,196.97,197.3,922607,196.08,
1750265100,197.3,197.38,197.08,197.25,683535,196.16,
1750266000,197.24,197.3,196.72,196.76,706914,196.23,
1750266900,196.76,197.07,196.63,196.85,648110,196.33,
1750267800,196.87,196.9,196.5,196.7,555227,196.4,
1750268700,196.7,197.22,196.67,196.82,676260,196.47,
1750269600,196.82,197.23,196.76,197.07,360418,196.56,
1750270500,197.08,197.19,196.78,196.95,377039,196.64,
1750271400,196.95,197.02,196.72,196.83,377618,196.73,
1750272300,196.82,196.95,196.42,196.46,536784,196.79,
1750273200,196.45,196.54,196.25,196.46,496138,196.86,
1750274100,196.47,196.58,196.05,196.06,413846,196.83,
1750275000,196.07,196.54,195.8,196.54,520981,196.79,
1750275900,196.54,196.86,196.3,196.5,816142,196.75,
1750276800,196.46,196.98,195.87,196.02,803545,196.66,
1750277700,196.03,196.14,195.63,195.91,647039,196.57,
1750278600,195.91,196.46,195.63,196.32,840860,196.54,
1750279500,196.32,196.32,195.11,195.36,881638,196.43,
1750280400,195.37,196.1,195.14,195.95,1028159,196.38,
1750281300,195.96,196.29,195.6,195.64,880350,196.29,196.63
1750282200,195.63,196.3,195.46,196.29,1142899,196.24,196.63
1750283100,196.28,197.11,196.06,196.24,4995034,196.18,196.62
1750433400,198.12,200.95,197.52,200.6,13758736,196.45,196.68
1750434300,200.59,200.72,199.73,199.84,1934197,196.7,196.72
1750435200,199.84,199.94,198.98,199.56,1349967,196.92,196.76
1750436100,199.55,199.74,198.55,198.68,1144567,197.1,196.79
1750437000,198.69,198.69,197.63,197.79,1386978,197.19,196.79
1750437900,197.8,197.84,197.03,197.28,1111076,197.25,196.79
1750438800,197.26,197.75,196.85,197.66,1635125,197.37,196.77
1750439700,197.67,198.06,197.51,197.68,792195,197.49,196.77
1750440600,197.67,199.0,197.62,198.75,1458485,197.67,196.78
1750441500,198.75,198.81,197.98,198.08,793139,197.86,196.79
1750442400,198.07,198.51,197.9,198.19,451110,198.02,196.81
1750443300,198.17,198.54,197.92,198.49,686524,198.22,196.84
1750444200,198.49,198.83,198.29,198.5,577546,198.38,196.88
1750445100,198.49,198.94,198.33,198.81,1101330,198.57,196.93
1750446000,198.81,199.24,198.52,199.17,564585,198.46,196.98
1750446900,199.18,199.41,198.27,198.32,775110,198.35,197.03
1750447800,198.32,198.66,198.07,198.49,734762,198.28,197.08
1750448700,198.48,199.18,198.36,199.14,1167090,198.31,197.16
1750449600,199.15,199.81,199.11,199.73,919872,198.45,197.24
1750450500,199.71,200.19,199.65,199.81,983668,198.63,197.32
1750451400,199.82,200.17,199.81,199.95,967059,198.79,197.4
1750452300,199.96,200.14,199.65,199.71,1247082,198.94,197.48
1750453200,199.71,200.34,199.62,199.92,1413960,199.02,197.56
1750454100,199.91,200.18,199.6,199.93,1490474,199.15,197.65
1750455000,199.92,200.2,199.77,199.97,1269781,199.28,197.74
1750455900,199.98,201.7,199.94,200.92,6836642,199.46,197.83
1750692600,201.59,201.73,199.94,201.52,3637467,199.67,197.92
1750693500,201.53,201.91,201.21,201.73,1732643,199.88,198.01
1750694400,201.72,202.3,201.53,201.6,1905930,200.05,198.1
1750695300,201.61,201.7,201.17,201.37,1111523,200.27,198.18
1750696200,201.38,201.55,200.91,201.53,967033,200.49,198.27
1750697100,201.54,201.59,200.38,200.46,1083801,200.58,198.35
1750698000,200.47,200.88,200.31,200.59,911932,200.64,198.42
1750698900,200.59,200.79,200.2,200.53,996060,200.7,198.5
1750699800,200.51,200.54,199.51,199.67,1127330,200.68,198.55
1750700700,199.67,200.02,199.61,199.88,826744,200.69,198.61
1750701600,199.88,199.99,199.61,199.96,641964,200.69,198.67
1750702500,199.95,200.52,199.9,200.14,854812,200.7,198.74
1750703400,200.14,200.5,198.96,200.27,1074112,200.73,198.82
1750704300,200.26,200.54,199.61,199.71,693199,200.64,198.89
1750705200,199.72,200.95,199.58,200.48,881777,200.57,198.97
1750706100,200.49,201.52,200.45,201.44,919698,200.54,199.07
1750707000,201.46,201.82,201.3,201.44,892773,200.53,199.18
1750707900,201.44,201.62,201.08,201.23,577582,200.52,199.29
