time,open,high,low,close,volume,SMA_20,SMA_50
1741703400,223.82,225.84,221.76,222.05,7381968,,
1741705200,222.02,223.5,220.01,221.06,8333196,,
1741708800,221.06,222.14,220.26,221.14,5188244,,
1741712400,221.1,221.11,218.44,219.0,6592087,,
1741716000,218.97,219.53,217.45,218.29,5277883,,
1741719600,218.3,222.7,218.26,222.17,5130443,,
1741723200,222.18,223.31,220.58,220.73,7070644,,
1741789800,220.14,221.75,219.27,221.41,6485579,,
1741791600,221.39,221.75,216.0,216.1,7819741,,
1741795200,216.13,217.9,214.91,217.78,5641718,,
1741798800,217.78,218.61,216.88,217.25,3839185,,
1741802400,217.27,218.23,216.06,216.11,3022931,,
1741806000,216.09,217.09,215.84,216.43,3449538,,
1741809600,216.42,217.28,215.05,216.94,8494142,,
1741876200,215.94,216.84,214.37,215.27,5208698,,
1741878000,215.28,215.94,213.65,214.23,5808208,,
1741881600,214.24,214.8,212.0,212.08,4983610,,
1741885200,212.08,212.93,211.13,211.49,5699454,,
1741888800,211.49,211.7,210.5,211.12,3815787,,
1741892400,211.1,212.47,211.04,211.92,3711575,217.13,
1741896000,211.91,212.29,208.42,209.71,9635837,216.51,
1741962600,211.25,213.43,210.97,212.49,5809016,216.08,
1741964400,212.44,212.44,209.58,211.74,7516021,215.61,
1741968000,211.76,213.95,211.2,213.28,5041044,215.33,
1741971600,213.28,213.29,212.07,212.88,2924759,215.06,
1741975200,212.87,213.5,211.96,212.4,3010987,214.57,
1741978800,212.39,212.7,210.76,212.61,4392866,214.16,
1741982400,212.61,213.9,212.48,213.38,6734132,213.76,
1742221800,213.31,214.97,212.17,213.72,4405430,213.64,
1742223600,213.73,214.0,211.3,211.39,4414682,213.32,
1742227200,211.39,211.67,210.0,210.92,4135619,213.01,
1742230800,210.92,211.89,210.57,211.57,2559607,212.78,
1742234400,211.55,213.75,211.09,213.67,3013696,212.64,
1742238000,213.66,214.8,213.51,214.55,2921761,212.52,
1742241600,214.54,215.22,213.67,214.15,6366496,212.46,
1742308200,214.15,215.05,212.95,214.43,4755017,212.48,
1742310000,214.42,215.15,213.47,213.72,4779325,212.56,
1742313600,213.7,213.82,212.65,213.34,2963188,212.65,
1742317200,213.31,214.0,211.59,212.21,2877445,212.7,
1742320800,212.2,212.58,211.49,211.86,2524856,212.7,
1742324400,211.85,212.66,211.68,212.22,2308199,212.83,
1742328000,212.22,213.28,211.89,212.79,4483500,212.84,
1742394600,214.09,217.72,213.91,217.14,4876869,213.11,
1742396400,217.16,218.76,215.45,215.55,6095622,213.22,
1742400000,215.51,216.75,214.96,216.27,3212487,213.39,
1742403600,216.24,216.34,214.44,214.96,2266412,213.52,
1742407200,214.97,215.1,213.86,214.07,2212972,213.6,
1742410800,213.98,215.61,213.75,215.59,4020793,213.71,
1742414400,215.57,217.06,214.48,215.3,6075763,213.78,
1742481000,213.92,215.49,212.9,215.49,3062953,213.99,214.92
1742482800,215.49,217.49,215.39,216.15,4494085,214.25,214.8
1742486400,216.17,216.53,215.42,215.6,2704828,214.45,214.69
1742490000,215.59,216.44,213.0,213.54,4495882,214.45,214.54
1742493600,213.53,214.02,213.1,213.4,2503446,214.39,214.43
1742497200,213.43,213.83,212.22,212.37,3243266,214.3,214.31
1742500800,212.35,214.76,212.34,214.15,5651434,214.29,214.15
1742567400,211.56,214.42,211.28,214.12,12462250,214.31,214.02
1742569200,214.16,214.54,213.17,214.46,3412321,214.36,213.88
1742572800,214.47,214.84,212.68,213.26,2642980,214.41,213.82
1742576400,213.25,215.48,212.64,215.43,3335007,214.59,213.77
1742580000,215.43,215.43,214.26,214.29,1994515,214.7,213.72
1742583600,214.28,215.37,214.28,215.17,2554840,214.82,213.7
1742587200,215.17,218.84,214.86,218.36,9959878,214.88,213.74
1742826600,221.0,221.03,218.58,220.21,4716766,215.11,213.8
1742828400,220.21,220.37,219.22,219.73,3556134,215.28,213.89
