time,open,high,low,close,volume,SMA_14,SMA_50
1750174200,197.2,197.93,197.06,197.5,836157,,
1750174260,197.52,197.85,197.37,197.51,130811,,
1750174320,197.52,197.56,196.94,197.1,145303,,
1750174380,197.06,197.4,197.01,197.33,106041,,
1750174440,197.33,197.36,197.03,197.06,90382,,
1750174500,197.08,197.11,196.81,196.91,169157,,
1750174560,196.91,197.38,196.76,197.36,187925,,
1750174620,197.35,197.35,196.95,197.0,120379,,
1750174680,197.0,197.22,196.91,197.15,101702,,
1750174740,197.15,197.17,197.02,197.06,72375,,
1750174800,197.05,197.14,196.99,197.13,93188,,
1750174860,197.11,197.27,197.09,197.12,109040,,
1750174920,197.12,197.17,196.78,196.87,150105,,
1750174980,196.89,197.03,196.77,196.8,69558,197.14,
1750175040,196.81,196.82,196.56,196.56,116111,197.07,
1750175100,196.56,196.58,196.27,196.34,163017,196.98,
1750175160,196.36,196.4,196.25,196.34,132622,196.93,
1750175220,196.35,196.61,196.35,196.56,111537,196.88,
1750175280,196.56,196.62,196.35,196.45,79335,196.83,
1750175340,196.45,196.53,196.3,196.48,59661,196.8,
1750175400,196.48,196.49,196.27,196.37,102864,196.73,
1750175460,196.36,196.6,196.34,196.59,74381,196.7,
1750175520,196.59,196.79,196.55,196.71,88182,196.67,
1750175580,196.72,196.72,196.53,196.62,63276,196.64,
1750175640,196.62,196.82,196.61,196.81,57369,196.62,
1750175700,196.8,196.82,196.6,196.62,57114,196.58,
1750175760,196.62,197.03,196.59,196.96,133435,196.59,
1750175820,196.98,197.02,196.87,196.87,150335,196.59,
1750175880,196.89,196.9,196.73,196.79,56635,196.61,
1750175940,196.78,196.86,196.73,196.82,46105,196.64,
1750176000,196.82,196.94,196.77,196.89,92248,196.68,
1750176060,196.87,196.95,196.85,196.86,79872,196.7,
1750176120,196.86,196.88,196.69,196.73,62490,196.72,
1750176180,196.72,196.83,196.69,196.78,33907,196.74,
1750176240,196.79,196.96,196.76,196.94,45401,196.79,
1750176300,196.96,197.11,196.96,197.08,79841,196.82,
1750176360,197.08,197.11,196.94,196.98,67268,196.84,
1750176420,196.99,197.11,196.94,197.0,57521,196.87,
1750176480,197.0,197.29,197.0,197.24,96395,196.9,
1750176540,197.24,197.31,197.22,197.24,63097,196.94,
1750176600,197.25,197.26,197.12,197.16,75973,196.96,
1750176660,197.15,197.26,197.11,197.25,64266,196.98,
