time,open,high,low,close,volume,SMA_14,SMA_50
1753111800,212.14,212.4,211.63,211.94,730372,,
1753111830,211.9,212.0,211.68,211.9,111448,,
1753111860,211.94,212.07,211.76,211.8,110383,,
1753111890,211.84,212.3,211.81,212.25,148596,,
1753111920,212.28,212.65,212.19,212.46,177055,,
1753111950,212.43,212.61,212.16,212.56,93241,,
1753111980,212.55,212.69,212.3,212.37,88415,,
1753112010,212.37,212.42,212.2,212.34,73725,,
1753112040,212.33,212.37,212.15,212.16,69121,,
1753112070,212.15,212.94,212.1,212.91,268836,,
1753112100,212.91,213.16,212.8,212.86,403304,,
1753112130,212.86,213.01,212.82,212.91,103279,,
1753112160,212.91,213.38,212.9,213.36,177480,,
1753112190,213.33,213.76,213.23,213.41,259876,212.52,
1753112220,213.42,213.42,213.12,213.19,129810,212.61,
1753112250,213.18,213.21,212.96,213.01,124359,212.68,
1753112280,212.98,213.12,212.78,212.89,161210,212.76,
1753112310,212.9,213.55,212.85,213.53,119387,212.85,
1753112340,213.55,214.05,213.53,214.03,272100,212.97,
1753112370,214.03,214.04,213.79,213.86,125084,213.06,
1753112400,213.86,214.03,213.82,214.02,135155,213.18,
1753112430,214.02,214.06,213.72,213.83,168329,213.28,
1753112460,213.83,214.27,213.82,214.18,193174,213.43,
1753112490,214.19,214.2,214.04,214.12,156842,213.51,
1753112520,214.12,214.43,214.11,214.33,297136,213.62,
1753112550,214.32,214.55,214.22,214.53,265676,213.74,
1753112580,214.52,214.8,214.44,214.75,196413,213.83,
1753112610,214.75,214.87,214.65,214.68,186246,213.92,
1753112640,214.68,214.71,214.6,214.67,131115,214.03,
1753112670,214.68,214.68,214.38,214.67,163080,214.15,
1753112700,214.68,215.0,214.58,214.95,253824,214.3,
1753112730,214.95,215.42,214.94,215.4,296940,214.43,
1753112760,215.4,215.78,215.4,215.68,312359,214.55,
1753112790,215.67,215.68,215.5,215.55,199380,214.67,
1753112820,215.53,215.74,214.68,214.8,352698,214.72,
1753112850,214.8,214.97,214.67,214.7,152986,214.79,
1753112880,214.72,214.97,214.45,214.95,228128,214.84,
1753112910,214.94,215.01,214.57,214.59,81248,214.88,
1753112940,214.59,214.59,214.3,214.37,181545,214.88,
1753112970,214.36,214.65,214.36,214.53,104081,214.88,
1753113000,214.53,214.65,214.4,214.43,106996,214.86,
1753113030,214.44,214.64,214.39,214.58,96997,214.85,
1753113060,214.59,214.86,214.59,214.71,130185,214.85,
1753113090,214.71,215.04,214.69,215.04,144884,214.88,
1753113120,215.04,215.22,214.83,214.94,185466,214.88,
1753113150,214.93,215.14,214.79,214.91,98463,214.84,
1753113180,214.9,215.0,214.73,214.88,92905,214.78,
1753113210,214.9,214.98,214.67,214.7,86055,214.72,
1753113240,214.72,214.96,214.71,214.86,69108,214.73,
1753113270,214.87,214.91,214.74,214.75,46243,214.73,213.94
1753113300,214.75,214.86,214.58,214.7,79856,214.71,213.99
1753113330,214.69,214.8,214.5,214.74,71268,214.72,214.05
1753113360,214.75,214.83,214.63,214.81,106772,214.76,214.11
1753113390,214.81,214.82,214.53,214.53,90677,214.76,214.15
1753113420,214.53,214.68,214.32,214.52,137953,214.76,214.2
1753113450,214.5,214.69,214.44,214.54,97785,214.76,214.24
1753113480,214.55,214.56,214.34,214.35,71578,214.73,214.28
1753113510,214.37,214.42,214.21,214.28,82946,214.68,214.31
1753113540,214.28,214.37,214.16,214.31,63902,214.63,214.36
1753113570,214.3,214.33,213.96,214.0,107941,214.57,214.38
1753113600,214.01,214.32,214.01,214.31,143154,214.53,214.41
1753113630,214.31,214.48,214.27,214.44,66276,214.51,214.44
1753113660,214.44,214.65,214.32,214.34,152000,214.47,214.46
1753113690,214.36,214.49,214.3,214.37,65881,214.45,214.48
1753113720,214.37,214.52,214.36,214.43,62085,214.43,214.5
1753113750,214.43,214.52,214.34,214.38,51166,214.4,214.53
1753113780,214.38,214.5,214.22,214.49,78693,214.38,214.56
1753113810,214.49,214.58,214.39,214.53,45043,214.38,214.58
1753113840,214.53,214.54,214.41,214.47,59126,214.37,214.59
1753113870,214.46,214.47,214.17,214.26,61157,214.35,214.6
1753113900,214.26,214.49,214.25,214.44,44064,214.36,214.61
