time,open,high,low,close,volume,SMA_14,SMA_50
2025-07-31 17:30:00,211.9,212.35,211.47,211.79,680052,,
2025-07-31 17:30:30,211.83,211.83,211.36,211.41,87255,,
2025-07-31 17:31:00,211.43,211.82,211.27,211.59,77617,,
2025-07-31 17:31:30,211.63,211.9,211.5,211.66,59788,,
2025-07-31 17:32:00,211.69,212.39,211.53,211.89,144184,,
2025-07-31 17:32:30,211.94,211.97,211.57,211.58,35939,,
2025-07-31 17:33:00,211.62,211.81,211.6,211.75,43409,,
2025-07-31 17:33:30,211.73,212.02,211.7,211.92,51377,,
2025-07-31 17:34:00,211.92,212.04,211.76,211.88,53224,,
2025-07-31 17:34:30,211.86,211.9,211.68,211.8,34634,,
2025-07-31 17:35:00,211.78,211.94,211.68,211.88,37382,,
2025-07-31 17:35:30,211.93,211.93,211.76,211.85,23996,,
2025-07-31 17:36:00,211.84,212.0,211.53,211.53,91041,,
2025-07-31 17:36:30,211.56,211.59,211.43,211.46,45919,211.71,
2025-07-31 17:37:00,211.47,211.47,211.2,211.23,39979,211.67,
2025-07-31 17:37:30,211.23,211.34,211.21,211.32,35748,211.67,
2025-07-31 17:38:00,211.29,211.36,210.97,211.11,100305,211.63,
2025-07-31 17:38:30,211.12,211.15,210.89,210.94,44378,211.58,
2025-07-31 17:39:00,210.94,210.95,210.64,210.72,74118,211.5,
2025-07-31 17:39:30,210.74,210.77,210.6,210.65,46632,211.43,
2025-07-31 17:40:00,210.69,211.08,210.67,211.06,60334,211.38,
2025-07-31 17:40:30,211.05,211.12,210.99,211.06,43074,211.32,
2025-07-31 17:41:00,211.08,211.11,210.76,210.76,46181,211.24,
2025-07-31 17:41:30,210.76,210.77,210.55,210.63,43948,211.16,
2025-07-31 17:42:00,210.64,210.8,210.51,210.53,61297,211.06,
2025-07-31 17:42:30,210.52,210.69,210.43,210.67,38653,210.98,
2025-07-31 17:43:00,210.67,210.9,210.65,210.89,50276,210.93,
2025-07-31 17:43:30,210.88,210.95,210.84,210.87,58442,210.89,
2025-07-31 17:44:00,210.88,211.06,210.84,211.05,46694,210.88,
2025-07-31 17:44:30,211.05,211.06,210.97,211.02,34535,210.85,
2025-07-31 17:45:00,211.0,211.12,210.97,211.02,50303,210.85,
2025-07-31 17:45:30,211.03,211.13,210.89,210.91,39963,210.85,
2025-07-31 17:46:00,210.93,210.98,210.84,210.97,31194,210.86,
2025-07-31 17:46:30,210.96,211.1,210.95,211.03,52193,210.89,
2025-07-31 17:47:00,211.05,211.05,210.77,210.81,37708,210.87,
2025-07-31 17:47:30,210.81,210.92,210.44,210.44,68772,210.83,
2025-07-31 17:48:00,210.4,210.59,210.38,210.54,60887,210.81,
2025-07-31 17:48:30,210.55,210.63,210.47,210.62,39741,210.81,
2025-07-31 17:49:00,210.63,210.71,210.57,210.63,24969,210.82,
2025-07-31 17:49:30,210.62,210.65,210.34,210.37,50399,210.8,
2025-07-31 17:50:00,210.38,210.41,210.24,210.28,56096,210.75,
2025-07-31 17:50:30,210.28,210.29,210.19,210.22,44020,210.71,
2025-07-31 17:51:00,210.21,210.27,210.02,210.06,62161,210.64,
2025-07-31 17:51:30,210.06,210.15,210.02,210.14,36305,210.57,
2025-07-31 17:52:00,210.14,210.18,210.1,210.14,40636,210.51,
2025-07-31 17:52:30,210.17,210.48,210.16,210.45,61658,210.48,
2025-07-31 17:53:00,210.47,210.55,210.37,210.55,40256,210.45,
2025-07-31 17:53:30,210.54,210.55,210.45,210.47,26323,210.41,
2025-07-31 17:54:00,210.47,210.55,210.47,210.5,27790,210.39,
2025-07-31 17:54:30,210.49,210.49,210.4,210.45,23927,210.39,210.98
2025-07-31 17:55:00,210.45,210.51,210.35,210.43,24548,210.38,210.95
2025-07-31 17:55:30,210.44,210.46,210.35,210.36,28267,210.36,210.93
2025-07-31 17:56:00,210.36,210.55,210.3,210.52,32984,210.35,210.91
2025-07-31 17:56:30,210.53,210.59,210.48,210.55,36262,210.37,210.89
2025-07-31 17:57:00,210.55,210.66,210.52,210.65,30800,210.39,210.87
2025-07-31 17:57:30,210.65,210.72,210.53,210.56,33111,210.42,210.84
2025-07-31 17:58:00,210.56,210.61,210.52,210.56,24110,210.45,210.82
2025-07-31 17:58:30,210.57,210.63,210.53,210.61,19657,210.49,210.8
2025-07-31 17:59:00,210.59,210.6,210.47,210.48,22993,210.51,210.77
2025-07-31 17:59:30,210.48,210.49,210.42,210.42,27769,210.51,210.74
2025-07-31 18:00:00,210.43,210.5,210.37,210.48,24017,210.5,210.71
2025-07-31 18:00:30,210.48,210.48,210.35,210.4,37746,210.5,210.68
2025-07-31 18:01:00,210.38,210.47,210.33,210.45,17597,210.49,210.66
2025-07-31 18:01:30,210.44,210.5,210.4,210.49,24161,210.5,210.64
2025-07-31 18:02:00,210.47,210.56,210.45,210.52,31756,210.5,210.63
2025-07-31 18:02:30,210.52,210.52,210.41,210.41,20628,210.51,210.61
2025-07-31 18:03:00,210.41,210.42,210.22,210.36,29421,210.5,210.59
2025-07-31 18:03:30,210.36,210.44,210.36,210.4,27146,210.48,210.58
2025-07-31 18:04:00,210.4,210.49,210.39,210.43,18855,210.47,210.58
2025-07-31 18:04:30,210.44,210.44,210.35,210.41,34925,210.46,210.57
2025-07-31 18:05:00,210.42,210.51,210.4,210.47,20089,210.45,210.56
2025-07-31 18:05:30,210.48,210.49,210.39,210.49,40442,210.44,210.55
2025-07-31 18:06:00,210.49,210.57,210.49,210.56,29775,210.45,210.55
2025-07-31 18:06:30,210.56,210.69,210.53,210.69,30363,210.47,210.55
2025-07-31 18:07:00,210.69,210.73,210.56,210.56,34873,210.47,210.55
2025-07-31 18:07:30,210.55,210.56,210.43,210.55,33649,210.48,210.54
2025-07-31 18:08:00,210.56,210.59,210.51,210.53,20348,210.49,210.54
2025-07-31 18:08:30,210.53,210.53,210.38,210.41,41174,210.48,210.53
2025-07-31 18:09:00,210.41,210.44,210.31,210.39,39783,210.48,210.52
2025-07-31 18:09:30,210.39,210.46,210.36,210.42,34335,210.48,210.5
2025-07-31 18:10:00,210.41,210.41,210.3,210.37,24298,210.48,210.49
2025-07-31 18:10:30,210.37,210.48,210.29,210.29,47551,210.47,210.48
2025-07-31 18:11:00,210.31,210.37,210.29,210.33,27058,210.46,210.46
2025-07-31 18:11:30,210.33,210.36,210.16,210.17,47182,210.44,210.45
2025-07-31 18:12:00,210.18,210.21,210.1,210.16,54736,210.42,210.43
2025-07-31 18:12:30,210.16,210.32,210.12,210.32,43075,210.41,210.43
2025-07-31 18:13:00,210.29,210.51,210.28,210.44,43798,210.4,210.43
2025-07-31 18:13:30,210.42,210.56,210.42,210.56,45038,210.39,210.43
2025-07-31 18:14:00,210.55,210.55,210.39,210.47,43760,210.39,210.43
2025-07-31 18:14:30,210.46,210.5,210.41,210.43,27356,210.38,210.43
2025-07-31 18:15:00,210.43,210.44,210.36,210.39,26051,210.37,210.43
2025-07-31 18:15:30,210.39,210.48,210.37,210.45,23819,210.37,210.43
2025-07-31 18:16:00,210.46,210.53,210.41,210.48,30579,210.38,210.44
2025-07-31 18:16:30,210.48,210.49,210.37,210.44,27268,210.38,210.45
2025-07-31 18:17:00,210.44,210.5,210.39,210.41,27805,210.38,210.45
2025-07-31 18:17:30,210.41,210.48,210.39,210.45,26925,210.39,210.45
2025-07-31 18:18:00,210.47,210.64,210.45,210.63,55007,210.41,210.46
2025-07-31 18:18:30,210.65,210.72,210.62,210.63,55584,210.45,210.46
2025-07-31 18:19:00,210.64,210.82,210.63,210.77,20616,210.49,210.46
2025-07-31 18:19:30,210.78,210.78,210.69,210.69,21255,210.52,210.47
2025-07-31 18:20:00,210.72,210.77,210.57,210.64,32140,210.53,210.47
2025-07-31 18:20:30,210.65,210.7,210.61,210.62,12382,210.54,210.48
2025-07-31 18:21:00,210.62,210.67,210.6,210.65,21646,210.55,210.48
2025-07-31 18:21:30,210.66,210.71,210.63,210.7,23078,210.57,210.48
